 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-62.csv' (seed 1992);1.67;5.99;8.79;23.27;12.97;9.69;15.43;2.53;13.64;12.85;20.84;25.58;45.57;39.66;32.18;42.60;15.01;38.92;0.63;0.39;0.30;0.11;0.15;0.18;0.14;0.51;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-63.csv' (seed 1992);1.59;6.94;9.29;23.84;12.72;11.34;14.78;3.50;16.09;13.39;23.73;25.41;45.93;27.49;27.11;41.18;16.23;44.74;0.71;0.41;0.27;0.11;0.38;0.40;0.15;0.57;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-64.csv' (seed 1992);1.31;5.86;7.77;23.85;13.18;11.70;12.37;3.08;17.37;12.04;19.93;21.12;45.89;27.79;24.88;34.37;14.24;44.84;0.63;0.40;0.27;0.11;0.38;0.49;0.15;0.54;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-65.csv' (seed 1992);1.56;7.03;8.72;23.84;13.19;10.20;14.15;4.14;16.08;14.79;21.19;27.42;45.94;29.63;22.72;40.47;18.04;44.65;0.61;0.43;0.26;0.11;0.33;0.56;0.16;0.51;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-66.csv' (seed 1992);1.53;6.61;8.25;23.85;13.22;10.54;13.51;3.89;16.60;13.57;19.93;25.74;45.94;29.65;23.30;38.43;17.11;44.81;0.63;0.47;0.26;0.11;0.34;0.55;0.16;0.55;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-67.csv' (seed 1992);0.24;9.11;0.97;23.92;16.64;9.25;1.58;1.28;16.07;1.02;25.27;2.98;45.68;32.14;19.51;4.60;8.36;45.63;1.23;0.36;0.29;0.11;0.32;0.70;0.15;1.24;0.11
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-68.csv' (seed 1992);2.64;6.35;10.59;23.92;13.79;11.33;11.12;4.42;16.63;8.72;17.29;29.48;45.75;30.50;23.67;40.52;17.10;44.69;1.42;0.64;0.25;0.11;0.30;0.55;0.15;0.59;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-69.csv' (seed 1992);2.84;6.52;13.34;23.92;13.20;11.43;8.98;5.36;15.93;10.10;15.75;31.63;45.61;29.84;22.44;34.57;15.83;44.55;1.19;0.78;0.25;0.11;0.31;0.63;0.17;0.70;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-70.csv' (seed 1992);2.70;6.88;10.38;23.93;14.56;11.03;11.58;3.73;15.81;9.67;16.12;22.10;45.63;30.79;21.57;25.61;11.61;44.88;1.15;0.77;0.49;0.11;0.31;0.68;0.40;1.01;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-71.csv' (seed 1992);2.69;6.62;10.94;23.95;13.41;11.23;13.63;3.69;15.92;9.17;15.72;21.47;45.67;31.08;22.14;27.82;12.47;44.79;1.36;0.79;0.63;0.11;0.30;0.64;0.41;0.89;0.12
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-72.csv' (seed 1992);0.38;1.24;4.83;23.95;19.99;1.78;19.81;0.69;2.81;1.03;2.43;9.26;45.53;38.72;3.43;38.25;2.41;5.87;2.39;1.17;2.06;0.11;0.20;0.75;0.21;0.76;0.26
