 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-62.csv' (seed 1992);0.80;70.72;51.64;57.18;80.96;88.91;21.05;38.86;26.27;1.37;61.10;44.72;50.12;70.69;76.83;18.31;34.07;22.73;16.03;3.26;5.81;2.98;1.34;1.44;17.79;5.84;16.60
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-63.csv' (seed 1992);1.24;67.54;51.20;52.28;78.48;85.99;24.17;39.62;28.30;1.61;58.38;44.43;46.57;68.37;74.31;20.98;35.25;24.50;18.33;3.58;5.34;2.37;1.63;1.67;15.96;3.91;14.72
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-64.csv' (seed 1992);0.48;69.51;48.91;62.14;86.05;88.21;22.07;42.29;23.47;0.63;60.05;42.28;53.79;74.49;76.23;19.11;36.92;20.31;45.86;3.43;6.93;4.05;1.52;1.49;20.10;5.89;18.97
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-65.csv' (seed 1992);0.80;66.27;47.19;61.18;84.21;86.56;23.66;43.25;24.30;1.37;57.25;40.82;53.59;73.14;74.80;20.53;37.88;21.02;16.14;3.83;7.16;2.65;1.43;1.63;16.70;5.11;18.69
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-66.csv' (seed 1992);0.96;70.98;51.26;57.69;81.79;89.17;20.99;40.00;27.09;1.45;61.32;44.38;50.38;70.86;77.05;18.22;34.87;23.46;10.11;3.23;5.95;3.31;1.79;1.43;18.95;6.79;15.48
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-67.csv' (seed 1992);0.82;67.42;48.59;59.28;83.44;87.77;22.45;41.85;24.68;0.97;58.22;42.12;51.99;72.61;75.84;19.44;36.82;21.37;42.63;3.78;6.16;2.72;1.37;1.53;19.94;4.71;17.50
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-68.csv' (seed 1992);2.02;66.97;50.12;55.08;79.88;86.05;23.85;40.64;27.16;2.26;57.88;43.52;48.52;69.62;74.36;20.73;35.87;23.50;41.58;3.66;5.38;2.80;1.51;1.67;15.66;4.55;15.76
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-69.csv' (seed 1992);0.89;68.18;48.46;59.97;83.76;87.64;22.77;41.40;24.61;0.80;58.90;41.94;52.51;72.59;75.73;19.71;36.35;21.31;217.50;3.58;6.66;2.79;1.62;1.55;19.52;5.06;17.82
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-70.csv' (seed 1992);0.56;67.10;46.43;63.54;85.86;88.02;22.39;44.33;22.83;0.49;57.97;40.13;55.29;74.56;76.06;19.41;38.45;19.76;523.98;3.72;7.66;3.07;1.32;1.51;18.69;7.03;19.62
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-71.csv' (seed 1992);0.69;69.01;48.53;61.12;83.76;88.09;22.20;42.42;24.61;0.63;59.61;41.96;53.27;72.80;76.11;19.24;36.83;21.30;260.60;3.48;6.93;3.13;1.41;1.51;19.00;7.20;17.99
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-72.csv' (seed 1992);1.13;67.67;50.37;57.62;80.77;86.50;23.72;41.34;26.08;0.99;58.49;43.59;50.55;70.59;74.74;20.56;36.04;22.58;345.25;3.56;6.23;2.87;1.31;1.64;17.63;6.39;16.31
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-73.csv' (seed 1992);1.31;66.46;48.53;58.64;81.54;85.61;24.55;42.74;25.57;1.20;57.47;42.00;51.75;71.11;73.96;21.27;37.32;22.13;129.55;3.65;6.60;2.34;1.37;1.73;17.31;5.75;16.97
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-74.csv' (seed 1992);0.83;69.26;50.82;57.18;81.09;88.21;22.20;40.96;26.97;0.71;59.83;44.03;50.16;70.54;76.22;19.21;35.71;23.35;649.29;3.45;5.77;2.92;1.55;1.51;20.50;6.48;15.71
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-75.csv' (seed 1992);0.64;69.96;48.53;61.50;84.40;89.55;20.61;40.96;23.91;0.58;60.44;41.96;53.53;73.53;77.38;17.90;35.62;20.71;235.81;3.36;6.95;3.27;1.24;1.40;19.17;7.14;17.93
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-76.csv' (seed 1992);0.57;69.45;48.72;60.61;83.13;89.80;20.67;41.40;25.25;0.50;60.00;42.22;52.75;72.26;77.58;17.91;36.04;21.87;677.41;3.41;6.19;3.39;1.44;1.39;21.24;6.74;16.73
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-77.csv' (seed 1992);0.76;69.77;49.61;60.29;83.13;89.29;21.12;41.15;24.80;0.66;60.27;42.99;52.38;72.49;77.14;18.29;35.71;21.49;813.57;3.38;5.98;3.68;1.27;1.43;20.68;7.70;16.75
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-78.csv' (seed 1992);1.21;68.56;49.42;58.38;81.41;87.45;22.64;40.26;24.80;1.07;59.26;42.79;51.06;71.19;75.56;19.62;35.50;21.46;179.79;3.44;6.25;3.08;1.25;1.57;18.90;4.71;18.14
 KOMONDOR SIMULATION 'sim_input_nodes_dense_sce0_obsspd-79.csv' (seed 1992);0.38;70.02;48.21;61.50;84.40;89.36;21.12;41.98;23.91;0.33;60.47;41.75;53.70;73.41;77.21;18.28;36.71;20.70;745.32;3.42;6.54;2.90;1.33;1.41;21.45;5.60;18.35
